bond_sym_id	gvkey	industry
JOY3669962	13003	Machinery
JOY3669963	13003	Machinery
JOY3697694	13003	Machinery
JOYG.GC	13003	Machinery
JOYG.GF	13003	Machinery
JOYG.GG	13003	Machinery
JOYG.GH	13003	Machinery
JP.GE	6241	Insurance
JPM.AAE	2968	Banking
JPM.ABS	2968	Banking
JPM.AFJ	2968	Banking
JPM.AQ	136884	Pharmaceutical Products
JPM.AZM	2968	Banking
JPM.GAO	2968	Banking
JPM.GAX	2968	Banking
JPM.GBW	2968	Banking
JPM.GCB	2968	Banking
JPM.GCL	2968	Banking
JPM.GCM	2968	Banking
JPM.GCQ	2968	Banking
JPM.GDK	2968	Banking
JPM.GDL	2968	Banking
JPM.GDR	2968	Banking
JPM.GDY	2968	Banking
JPM.GDZ	2968	Banking
JPM.GFC	2968	Banking
JPM.GFD	2968	Banking
JPM.GFW	2968	Banking
JPM.GFY	2968	Banking
JPM.GFZ	2968	Banking
JPM.GGA	2968	Banking
JPM.GGH	2968	Banking
JPM.GHF	2968	Banking
JPM.GHG	2968	Banking
JPM.GIC	2968	Banking
JPM.GIS	2968	Banking
JPM.GIT	2968	Banking
JPM.GIY	2968	Banking
JPM.GJR	2968	Banking
JPM.GJS	2968	Banking
JPM.GKF	2968	Banking
JPM.GKG	2968	Banking
JPM.GKH	2968	Banking
JPM.GKS	2968	Banking
JPM.GKT	2968	Banking
JPM.GKV	2968	Banking
JPM.GKW	2968	Banking
JPM.GKX	2968	Banking
JPM.GLC	2968	Banking
JPM.GLG	2968	Banking
JPM.GLI	2968	Banking
JPM.GLJ	2968	Banking
JPM.GLK	2968	Banking
JPM.GLO	2968	Banking
JPM.GLP	2968	Banking
JPM.GLQ	2968	Banking
JPM.GLR	2968	Banking
JPM.GLS	2968	Banking
JPM.GLU	2968	Banking
JPM.GLV	2968	Banking
JPM.GLY	2968	Banking
JPM.GLZ	2968	Banking
JPM.GMA	2968	Banking
JPM.GMB	2968	Banking
JPM.GMC	2968	Banking
JPM.GMF	2968	Banking
JPM.GMH	2968	Banking
JPM.GMQ	2968	Banking
JPM.HGH	2968	Banking
JPM.HIA	2968	Banking
JPM.HNN	2968	Banking
JPM.HNO	2968	Banking
JPM.ICD	2968	Banking
JPM.ICH	2968	Banking
JPM.ICI	2968	Banking
JPM.IJA	2968	Banking
JPM.IJB	2968	Banking
JPM.IJC	2968	Banking
JPM.IJH	2968	Banking
JPM.JBN	2968	Banking
JPM.JDD	2968	Banking
JPM.JPF	2968	Banking
JPM.JXH	2968	Banking
JPM.KPC	2968	Banking
JPM.KPG	2968	Banking
JPM.KRR	2968	Banking
JPM.LEY	2968	Banking
JPM.LEZ	2968	Banking
JPM.LGB	2968	Banking
JPM.LGC	2968	Banking
JPM.LGD	2968	Banking
JPM.LGE	2968	Banking
